"","statistic.t","parameter.df","p.value","conf.int1","conf.int2","estimate.mean in group 0","estimate.mean in group 1","null.value.difference in means","alternative","method","data.name"
"Q33","1.0529498694183","66.0307444708717","0.2962019357175","-0.105413285949155","0.340672368736529","4.0958904109589","3.97826086956522","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q34","1.6756482984878","61.275127382503","0.0989032462857303","-0.0483950404118643","0.549288429333842","4.05479452054795","3.80434782608696","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q35","-2.55123980122528","84.6456010257728","0.0125319938930856","-0.726252490864447","-0.0900453665293001","3.23287671232877","3.64102564102564","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Sex","-3.65101507750226","99.9200478610102","0.000417792537521141","-0.501124033811934","-0.148249326724353","0.356164383561644","0.680851063829787","0","two.sided","Welch Two Sample t-test","quantify(response, option, num) by rawdata$`Civ 4?`"
"LA1","-2.96319293782045","77.7466121788738","0.00403884704901382","-1.04050889374555","-0.204198453701522","3.08219178082192","3.70454545454545","0","two.sided","Welch Two Sample t-test","dataComb[, i] by dataComb$`Civ 4?`"
"LA2","-1.01238715350399","81.4487145362939","0.31435105851183","-0.628669266570711","0.204634397330362","3.35616438356164","3.56818181818182","0","two.sided","Welch Two Sample t-test","dataComb[, i] by dataComb$`Civ 4?`"
"LA3","-3.15941482664954","85.8484968060799","0.00218333220651174","-1.01141829787624","-0.2301757245397","3.42465753424658","4.04545454545455","0","two.sided","Welch Two Sample t-test","dataComb[, i] by dataComb$`Civ 4?`"
"LA4","-3.01914005337679","83.2433490826047","0.00336444161430054","-0.962098593290758","-0.197926313309491","3.3972602739726","3.97727272727273","0","two.sided","Welch Two Sample t-test","dataComb[, i] by dataComb$`Civ 4?`"
"LA5","-2.05541599761738","104.999198877556","0.0423204173614747","-0.627571623748479","-0.0112826726400656","3.72602739726027","4.04545454545455","0","two.sided","Welch Two Sample t-test","dataComb[, i] by dataComb$`Civ 4?`"
"Grade","-1.2877579031123","90.0583467620163","0.201129532991579","-0.335052817324099","0.0715144903057369","3.0958904109589","3.22765957446809","0","two.sided","Welch Two Sample t-test","quantify(response, option, num) by rawdata$`Civ 4?`"
"cGPA (After)","1.11063129268135","72.7107113049667","0.270386406982654","-0.0638476360801954","0.224552969802142","3.14205479452055","3.06170212765957","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"cGPA (Before)","2.05755538532178","58.0445103184808","0.0441340876165586","0.00436141324208239","0.316875592994924","3.17980769230769","3.01918918918919","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Raw Mark (Performance)","-1.06404996789515","77.0387449708769","0.290629894775247","-0.987532676323414","0.299686567317294","14.3986301369863","14.7425531914894","0","two.sided","Welch Two Sample t-test","rawdata$`Raw Mark (Performance)` by rawdata$`Civ 4?`"
